timestamp,channel,value_uv
36.541000,O1,96093.4277
36.541000,T3,-60632.6652
36.541000,T4,-6.1512
36.541000,O2,337676.0885
36.544600,O1,95022.8328
36.544600,T3,313148.7266
36.544600,T4,-264357.4076
36.544600,O2,243921.2613
36.598500,O1,1407.5281
36.598500,T3,-11349.9655
36.598500,T4,-122524.7052
36.598500,O2,369492.4318
36.601500,O1,-205902.7917
36.601500,T3,-79255.8765
36.601500,T4,-254238.5404
36.601500,O2,-207314.6590
36.660800,O1,81065.2353
36.660800,T3,-177199.0987
36.660800,T4,-349073.4040
36.660800,O2,-375548.7890
36.663500,O1,-1178.6462
36.663500,T3,-307734.9076
36.663500,T4,-108632.9113
36.663500,O2,320090.2844
36.720400,O1,-358506.7700
36.720400,T3,-103124.6308
36.720400,T4,-190162.5860
36.720400,O2,-398974.0847
36.724000,O1,367068.6683
36.724000,T3,-8835.6982
36.724000,T4,358860.1540
36.724000,O2,-262086.4704
36.899100,O1,79142.4369
36.899100,T3,59561.4981
36.899100,T4,292832.3618
36.899100,O2,-46474.1285
37.017800,O1,294505.4405
37.017800,T3,-233509.8545
37.017800,T4,-158068.9619
37.017800,O2,-33116.3923
37.197300,O1,319828.7391
37.197300,T3,12369.3004
37.197300,T4,-326381.5315
37.197300,O2,3171.7781
37.377600,O1,7764.1973
37.377600,T3,323461.5235
37.377600,T4,-398401.2125
37.377600,O2,134388.8920
37.498600,O1,153213.5192
37.498600,T3,397951.2689
37.498600,T4,-177138.0159
37.498600,O2,342260.0677
37.677500,O1,5460.1199
37.677500,T3,-180319.6168
37.677500,T4,375620.8391
37.677500,O2,-152552.6229
37.857400,O1,49962.2405
37.857400,T3,-238807.4683
37.857400,T4,147656.9352
37.857400,O2,-181785.5098
37.978200,O1,224247.1962
37.978200,T3,-280551.1332
37.978200,T4,130857.5786
37.978200,O2,325974.8371
38.157400,O1,198144.6979
38.157400,T3,-310205.9257
38.157400,T4,221399.6674
38.157400,O2,204262.3287
38.278200,O1,379263.5893
38.278200,T3,-1877.8326
38.278200,T4,-388063.0002
38.278200,O2,304382.2175
38.457300,O1,63309.0095
38.457300,T3,9450.4844
38.457300,T4,102098.1910
38.457300,O2,-125672.1170
38.578500,O1,149572.1042
38.578500,T3,-3980.4940
38.578500,T4,-344871.9913
38.578500,O2,163783.5698
38.758100,O1,-230574.7784
38.758100,T3,-88644.6105
38.758100,T4,-357374.6630
38.758100,O2,-12635.8524
38.937400,O1,232287.8161
38.937400,T3,335021.2973
38.937400,T4,389588.8316
38.937400,O2,-394590.0911
39.058100,O1,290823.9234
39.058100,T3,-109482.5398
39.058100,T4,-396851.6346
39.058100,O2,293567.1679
39.237400,O1,-133932.4157
39.237400,T3,25563.5769
39.237400,T4,-326917.4489
39.237400,O2,-58349.6163
39.418000,O1,-70922.9554
39.418000,T3,-235254.5065
39.418000,T4,351661.5333
39.418000,O2,-140024.9648
39.597400,O1,-129781.4047
39.597400,T3,-189792.1312
39.597400,T4,93040.6205
39.597400,O2,-212464.7394
39.718200,O1,231750.6113
39.718200,T3,369884.6781
39.718200,T4,262440.6651
39.718200,O2,-213730.6468
39.838800,O1,33084.7780
39.838800,T3,20717.9094
39.838800,T4,-71289.7386
39.838800,O2,294739.3292
39.841900,O1,-32785.1335
39.841900,T3,-331504.4798
39.841900,T4,105114.4725
39.841900,O2,-336730.3773
39.898600,O1,198206.0669
39.898600,T3,130627.4093
39.898600,T4,288734.4228
39.898600,O2,171034.6426
40.077900,O1,-314144.2197
40.077900,T3,373318.2875
40.077900,T4,-305981.9586
40.077900,O2,-395910.9778
40.257900,O1,300807.9411
40.257900,T3,-198509.2877
40.257900,T4,147950.6669
40.257900,O2,-386887.5965
40.439100,O1,-204929.4716
40.439100,T3,-363438.4589
40.439100,T4,-231822.1845
40.439100,O2,-374961.3732
40.558200,O1,-305721.6055
40.558200,T3,-53610.7127
40.558200,T4,164501.6389
40.558200,O2,-196997.1415
40.737900,O1,320654.5735
40.737900,T3,-221704.0326
40.737900,T4,-338145.0579
40.737900,O2,199440.8845
40.858300,O1,354166.5976
40.858300,T3,265041.9551
40.858300,T4,387756.4416
40.858300,O2,329199.7348
41.038400,O1,-283860.2881
41.038400,T3,110291.8756
41.038400,T4,-396189.8799
41.038400,O2,225270.8227
41.337600,O1,207729.6028
41.337600,T3,-357456.7744
41.337600,T4,77320.8710
41.337600,O2,364186.6164
41.458200,O1,319180.7651
41.458200,T3,-119968.1902
41.458200,T4,-92395.2213
41.458200,O2,-337548.7253
41.637400,O1,-264282.0196
41.637400,T3,379040.6679
41.637400,T4,-255540.0676
41.637400,O2,277321.7055
41.819200,O1,320841.3507
41.819200,T3,311855.9255
41.819200,T4,-186132.9777
41.819200,O2,139001.7198
41.998400,O1,-42612.9869
41.998400,T3,325294.1519
41.998400,T4,39186.2439
41.998400,O2,-202988.4104
42.117800,O1,209683.0618
42.117800,T3,356911.2250
42.117800,T4,393751.5251
42.117800,O2,113734.8787
42.297300,O1,6204.5582
42.297300,T3,-64853.4852
42.297300,T4,99706.9955
42.297300,O2,-84496.6989
42.417900,O1,-266759.9996
42.417900,T3,-360864.1578
42.417900,T4,307777.8229
42.417900,O2,-392282.9142
42.597600,O1,-272139.7247
42.597600,T3,336538.5457
42.597600,T4,-386706.8752
42.597600,O2,-91101.0851
42.720800,O1,216981.5799
42.720800,T3,253162.6526
42.720800,T4,96730.2915
42.720800,O2,110915.5310
42.957700,O1,-137203.9005
42.957700,T3,-48679.4530
42.957700,T4,316371.0494
42.957700,O2,97670.3760
43.078300,O1,-237923.6028
43.078300,T3,213845.5646
43.078300,T4,-254199.8213
43.078300,O2,393432.2349
43.257400,O1,312976.7791
43.257400,T3,107605.3271
43.257400,T4,-244675.8085
43.257400,O2,-208872.0094
43.378400,O1,168570.7293
43.378400,T3,-248532.4679
43.378400,T4,6433.9169
43.378400,O2,-226793.0778
43.382300,O1,-391269.2060
43.382300,T3,331496.1352
43.382300,T4,85254.8701
43.382300,O2,381862.0183
43.384700,O1,-198851.2753
43.384700,T3,91773.3779
43.384700,T4,-70091.0652
43.384700,O2,201698.8995
43.440100,O1,3018.7610
43.440100,T3,-366672.1304
43.440100,T4,21911.0992
43.440100,O2,-48242.5747
43.442700,O1,140125.0053
43.442700,T3,-152673.1196
43.442700,T4,291786.7055
43.442700,O2,182534.2873
43.446100,O1,-316292.5144
43.446100,T3,-162008.9247
43.446100,T4,230481.5567
43.446100,O2,-34947.5902
43.449800,O1,315542.1633
43.449800,T3,257399.2559
43.449800,T4,-320909.5384
43.449800,O2,263246.4723
43.499300,O1,325038.2811
43.499300,T3,-168480.3210
43.499300,T4,-7847.4531
43.499300,O2,-583.8872
43.503100,O1,-281905.6370
43.503100,T3,42373.2808
43.503100,T4,-140173.8334
43.503100,O2,-123425.5938
43.507300,O1,-291332.7088
43.507300,T3,-58825.5476
43.507300,T4,-287241.6839
43.507300,O2,153566.9510
43.509700,O1,188858.9607
43.509700,T3,-78000.0780
43.509700,T4,-302965.9632
43.509700,O2,381519.5062
43.513200,O1,177932.0452
43.513200,T3,-29527.2386
43.513200,T4,33875.8032
43.513200,O2,339113.3236
43.560800,O1,-195640.1581
43.560800,T3,394581.5080
43.560800,T4,-142246.9309
43.560800,O2,78896.1028
43.563500,O1,25003.5793
43.563500,T3,-32346.0141
43.563500,T4,-65564.3541
43.563500,O2,132775.7517
43.566800,O1,399927.0439
43.566800,T3,-380798.2899
43.566800,T4,-2732.3726
43.566800,O2,170803.2335
43.570400,O1,-138838.8322
43.570400,T3,395803.6895
43.570400,T4,-316931.0471
43.570400,O2,135877.1009
43.617600,O1,311073.9602
43.617600,T3,-112059.1297
43.617600,T4,266871.6272
43.617600,O2,212905.0032
43.679400,O1,205593.1336
43.679400,T3,260670.5976
43.679400,T4,248280.4118
43.679400,O2,-387949.7037
43.682700,O1,-152511.1380
43.682700,T3,36355.1183
43.682700,T4,26635.4593
43.682700,O2,69763.2396
43.686400,O1,-42065.1963
43.686400,T3,-212109.3049
43.686400,T4,227589.8728
43.686400,O2,333474.1036
43.690600,O1,90921.9373
43.690600,T3,-319284.2864
43.690600,T4,161584.4442
43.690600,O2,-342626.6125
43.741600,O1,385048.3877
43.741600,T3,-288243.4235
43.741600,T4,-154637.0691
43.741600,O2,-2060.6997
43.746000,O1,-100388.0144
43.746000,T3,82326.0882
43.746000,T4,397584.5811
43.746000,O2,179030.3444
43.798800,O1,-309823.2639
43.798800,T3,337868.7785
43.798800,T4,165441.7712
43.798800,O2,79223.9284
43.803700,O1,-206823.5167
43.803700,T3,-85388.0984
43.803700,T4,375441.4529
43.803700,O2,157766.0272
43.805500,O1,284867.2253
43.805500,T3,-57492.2630
43.805500,T4,62902.6488
43.805500,O2,-245068.2455
43.808800,O1,55433.8044
43.808800,T3,-44615.6555
43.808800,T4,205214.1434
43.808800,O2,19570.2576
43.858100,O1,286196.8382
43.858100,T3,165578.2420
43.858100,T4,-267723.2108
43.858100,O2,-203232.9802
43.861500,O1,295584.4755
43.861500,T3,-91770.0400
43.861500,T4,133313.0519
43.861500,O2,-361010.2607
43.865800,O1,-292187.2010
43.865800,T3,22766.3067
43.865800,T4,-336240.8085
43.865800,O2,-280161.3188
43.870100,O1,169107.8864
43.870100,T3,-352328.7239
43.870100,T4,-343262.0935
43.870100,O2,156872.5296
43.871800,O1,-77720.7467
43.871800,T3,167664.4525
43.871800,T4,344740.6226
43.871800,O2,185903.3329
43.919700,O1,-158029.0029
43.919700,T3,-262180.3596
43.919700,T4,251075.5838
43.919700,O2,-378855.6074
43.924300,O1,279764.0657
43.924300,T3,-285691.0569
43.924300,T4,193811.3444
43.924300,O2,38550.6199
43.928200,O1,379370.6392
43.928200,T3,283435.3785
43.928200,T4,13746.9785
43.928200,O2,-12290.2408
43.930100,O1,-334481.1361
43.930100,T3,-91476.6898
43.930100,T4,-356628.9373
43.930100,O2,-75927.9818
43.933700,O1,167408.3909
43.933700,T3,-94738.1133
43.933700,T4,-260459.5972
43.933700,O2,-158151.8362
43.980100,O1,220108.4876
43.980100,T3,-322788.1340
43.980100,T4,135145.2512
43.980100,O2,-143150.1082
43.983900,O1,17739.9656
